Invoice_ID,City,Customer_type,Gender,Product_line,Total,Rating
280-35-5823,Mandalay,Member,Female,Home and lifestyle,91.056,7.9
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,117.831,6.3
354-25-5821,Mandalay,Member,Female,Sports and travel,435.456,5.6
228-96-1411,Naypyitaw,Member,Female,Food and beverages,829.08,7.6
617-15-4209,Naypyitaw,Member,Male,Health and beauty,32.277,7.2
132-32-9879,Mandalay,Member,Female,Electronic accessories,394.632,9.5
370-41-7321,Mandalay,Member,Male,Health and beauty,535.7205,8.4
727-46-3608,Mandalay,Member,Female,Food and beverages,189.0945,4.1
669-54-1719,Mandalay,Member,Male,Electronic accessories,119.259,8.1
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,867.615,7.9
326-78-5178,Naypyitaw,Member,Male,Food and beverages,671.79,9.5
162-48-8011,Yangon,Member,Female,Food and beverages,234.0975,8.5
616-24-2851,Mandalay,Member,Female,Fashion accessories,75.054,6.5
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,16.2015,6.1
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,33.936,6.5
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,722.232,8.2
106-35-6779,Yangon,Member,Male,Home and lifestyle,93.114,5.8
635-40-6220,Yangon,Normal,Male,Health and beauty,752.64,6.6
817-48-8732,Yangon,Member,Female,Home and lifestyle,759.675,5.4
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,192.843,9.3
285-68-5083,Naypyitaw,Member,Female,Sports and travel,77.931,10
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,351.099,7
347-34-2234,Mandalay,Member,Female,Sports and travel,520.4115,10
199-75-8169,Yangon,Member,Male,Sports and travel,166.005,8.6
853-23-2453,Mandalay,Member,Male,Health and beauty,318.108,7.6
877-22-3308,Yangon,Member,Male,Health and beauty,166.635,5.8
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,70.287,6.7
109-28-2512,Mandalay,Member,Female,Fashion accessories,614.943,9.9
232-11-3025,Yangon,Normal,Male,Sports and travel,827.085,6.4
382-03-4532,Yangon,Member,Female,Health and beauty,19.2465,4.3
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,939.54,9.6
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,652.26,5.9
510-95-6347,Mandalay,Member,Female,Food and beverages,152.838,4
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,478.233,8.7
287-21-9091,Yangon,Normal,Male,Home and lifestyle,705.6315,9.4
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,437.325,5.4
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,463.428,8.6
381-20-0914,Yangon,Member,Female,Fashion accessories,189.0945,5.7
829-49-1914,Naypyitaw,Member,Female,Food and beverages,822.255,6.6
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,106.995,6
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,624.897,5.5
847-38-7188,Mandalay,Normal,Female,Food and beverages,304.542,6.4
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,161.7,6.6
787-56-0757,Naypyitaw,Member,Female,Food and beverages,337.512,8.3
360-39-5055,Naypyitaw,Member,Male,Sports and travel,256.7775,6.6
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,610.491,4
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,401.73,9.9
633-44-8566,Yangon,Member,Male,Food and beverages,362.943,7.3
504-35-8843,Yangon,Normal,Male,Sports and travel,44.5935,5.7
318-68-5053,Mandalay,Normal,Female,Health and beauty,485.037,6.1
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,198.996,7.1
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,471.03,8.2
873-51-0671,Yangon,Member,Female,Sports and travel,161.553,5.1
152-08-9985,Mandalay,Member,Male,Health and beauty,608.202,8.6
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,94.2375,6.6
594-34-4444,Yangon,Normal,Male,Electronic accessories,102.018,7.2
766-85-7061,Mandalay,Normal,Male,Health and beauty,922.635,5.1
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,78.435,4.1
865-92-6136,Yangon,Normal,Male,Food and beverages,166.1625,9.3
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,521.01,7.4
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,51.1455,4.1
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,742.2975,7.2
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,218.0115,4.9
212-62-1842,Yangon,Normal,Male,Food and beverages,367.038,9.9
716-39-1409,Mandalay,Normal,Male,Health and beauty,223.0725,8
704-48-3927,Yangon,Member,Male,Electronic accessories,931.035,7.3
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,172.494,7.9
630-74-5166,Yangon,Normal,Male,Sports and travel,391.419,7.4
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,321.111,4.2
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,860.685,9.2
479-26-8945,Mandalay,Member,Female,Sports and travel,34.629,4.6
210-67-5886,Naypyitaw,Member,Female,Health and beauty,309.3615,7.8
227-78-1148,Mandalay,Normal,Female,Fashion accessories,535.374,8.4
645-44-1170,Yangon,Member,Male,Home and lifestyle,548.7615,4.3
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,763.4655,9.5
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,85.113,7.1
291-32-1427,Mandalay,Member,Male,Fashion accessories,115.185,5.3
659-65-8956,Mandalay,Member,Male,Fashion accessories,53.928,5.2
642-32-2990,Yangon,Normal,Female,Food and beverages,115.08,6
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,112.224,4.1
638-60-7125,Yangon,Normal,Female,Electronic accessories,836.304,5.2
659-36-1684,Naypyitaw,Member,Male,Sports and travel,419.832,6.5
219-22-9386,Mandalay,Member,Male,Sports and travel,944.622,4.2
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,536.844,4.6
268-27-6179,Mandalay,Member,Female,Fashion accessories,474.348,7.3
668-90-8900,Yangon,Normal,Female,Home and lifestyle,688.6215,4.5
870-54-3162,Yangon,Normal,Female,Sports and travel,169.3125,9
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,299.8485,5.9
663-86-9076,Naypyitaw,Member,Female,Food and beverages,575.736,8.5
549-84-7482,Mandalay,Normal,Female,Sports and travel,853.146,7.2
191-10-6171,Mandalay,Normal,Female,Fashion accessories,291.207,7.5
802-70-5316,Yangon,Member,Female,Sports and travel,580.419,8.3
695-51-0018,Mandalay,Normal,Female,Sports and travel,146.328,7.4
590-83-4591,Mandalay,Member,Male,Electronic accessories,550.935,8.8
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,512.19,5.3
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,284.193,6.2
700-81-1757,Yangon,Normal,Female,Electronic accessories,138.1275,8.8
354-39-5160,Yangon,Member,Female,Home and lifestyle,216.846,9.8
241-72-9525,Mandalay,Normal,Male,Sports and travel,545.055,8.2
575-30-8091,Yangon,Normal,Male,Sports and travel,609,9.2
731-81-9469,Naypyitaw,Member,Female,Sports and travel,942.9,5.4
280-17-4359,Naypyitaw,Member,Male,Health and beauty,950.25,8.1
338-65-2210,Naypyitaw,Member,Female,Health and beauty,720.3,9.1
488-25-4221,Naypyitaw,Member,Female,Food and beverages,31.9305,8.4
239-10-7476,Yangon,Normal,Female,Home and lifestyle,491.085,8
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,291.438,9.5
685-64-1609,Yangon,Member,Female,Fashion accessories,316.47,9.2
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,277.788,5.6
262-47-2794,Mandalay,Member,Male,Home and lifestyle,603.624,6.2
238-49-0436,Yangon,Normal,Male,Health and beauty,272.664,4.9
608-96-3517,Mandalay,Member,Female,Fashion accessories,384.468,4.8
584-86-7256,Naypyitaw,Member,Male,Sports and travel,254.016,7.3
746-94-0204,Yangon,Normal,Male,Fashion accessories,786.618,7.4
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,103.824,9.9
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,680.148,9.3
782-95-9291,Yangon,Member,Male,Food and beverages,484.5225,9
279-74-2924,Mandalay,Member,Male,Electronic accessories,75.7785,6.1
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,263.97,9.7
743-04-1105,Mandalay,Member,Male,Health and beauty,918.729,6
423-57-2993,Mandalay,Normal,Male,Sports and travel,588.357,10
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,362.712,8.3
275-28-0149,Yangon,Normal,Male,Sports and travel,66.8745,6
101-17-6199,Yangon,Normal,Male,Food and beverages,336.5565,7
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,160.44,6.5
548-46-9322,Mandalay,Normal,Male,Food and beverages,418.95,5.9
505-02-0892,Mandalay,Member,Male,Health and beauty,357.588,5.6
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,1003.59,4.8
687-47-8271,Yangon,Normal,Male,Fashion accessories,1039.29,8.7
796-32-9050,Yangon,Normal,Male,Food and beverages,323.064,6.5
105-31-1824,Yangon,Member,Male,Sports and travel,510.972,8.5
249-42-3782,Yangon,Normal,Male,Health and beauty,367.5525,5.5
316-55-4634,Mandalay,Member,Male,Food and beverages,420.2625,9.4
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,175.14,6.3
608-27-6295,Mandalay,Member,Male,Electronic accessories,333.207,9.8
414-12-7047,Mandalay,Normal,Male,Food and beverages,166.236,8.7
827-26-2100,Yangon,Member,Male,Home and lifestyle,319.788,8.8
175-54-2529,Yangon,Member,Male,Food and beverages,186.228,9.6
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,165.4485,4.8
407-63-8975,Yangon,Normal,Male,Food and beverages,465.444,4.4
342-65-4817,Naypyitaw,Member,Male,Health and beauty,273.42,9.9
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,472.311,5.7
434-83-9547,Naypyitaw,Member,Male,Food and beverages,323.148,7.7
851-28-6367,Yangon,Member,Male,Sports and travel,162.75,8
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,288.204,5.7
586-25-0848,Yangon,Normal,Female,Sports and travel,90.699,6.7
895-66-0685,Mandalay,Member,Male,Food and beverages,56.952,8
305-14-0245,Mandalay,Member,Female,Home and lifestyle,793.716,7.5
732-04-5373,Mandalay,Member,Male,Home and lifestyle,195.174,7
400-60-7251,Yangon,Normal,Male,Home and lifestyle,77.7735,9.9
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,293.202,5.9
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,242.676,7.2
437-58-8131,Mandalay,Normal,Female,Fashion accessories,154.392,4.6
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,829.71,9.2
641-43-2399,Mandalay,Normal,Male,Home and lifestyle,107.31,5.7
831-07-6050,Yangon,Normal,Male,Electronic accessories,171.7275,9.9
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,78.0045,5
848-24-9445,Naypyitaw,Member,Male,Health and beauty,91.77,4.9
856-22-8149,Yangon,Normal,Female,Home and lifestyle,26.5545,6.1
699-01-4164,Naypyitaw,Normal,Male,Health and beauty,174.3,8.2
420-11-4919,Naypyitaw,Member,Female,Food and beverages,374.7975,5.5
606-80-4905,Naypyitaw,Member,Female,Sports and travel,120.645,6.8
542-41-0513,Mandalay,Member,Female,Electronic accessories,241.458,6.6
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,451.3635,9.8
875-46-5808,Mandalay,Member,Male,Health and beauty,271.95,8.7
394-43-4238,Mandalay,Member,Male,Home and lifestyle,93.2925,5.4
749-24-1565,Yangon,Normal,Female,Health and beauty,217.6335,7.9
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,629.8425,9.7
263-87-5680,Naypyitaw,Member,Female,Home and lifestyle,299.565,7.8
573-58-9734,Mandalay,Normal,Female,Fashion accessories,95.6655,5.1
817-69-8206,Mandalay,Normal,Female,Electronic accessories,942.4485,6.5
888-02-0338,Yangon,Normal,Male,Electronic accessories,247.8735,5.9
677-11-0152,Naypyitaw,Normal,Female,Food and beverages,881.307,8.8
142-63-6033,Mandalay,Normal,Male,Home and lifestyle,484.89,4.9
656-16-1063,Mandalay,Normal,Male,Sports and travel,146.223,4.4
891-58-8335,Mandalay,Member,Female,Sports and travel,217.6335,6.5
802-43-8934,Yangon,Normal,Male,Home and lifestyle,19.194,8.3
560-30-5617,Mandalay,Normal,Female,Sports and travel,130.0425,8.5
319-74-2561,Yangon,Member,Female,Electronic accessories,298.116,5.5
549-03-9315,Mandalay,Normal,Male,Fashion accessories,796.908,8.7
790-29-1172,Mandalay,Normal,Female,Food and beverages,180.621,7.9
239-36-3640,Mandalay,Normal,Male,Electronic accessories,285.705,6.1
468-01-2051,Mandalay,Normal,Male,Food and beverages,456.288,5.4
389-25-3394,Naypyitaw,Normal,Male,Electronic accessories,62.0025,9.4
279-62-1445,Naypyitaw,Member,Female,Fashion accessories,13.167,8.2
213-72-6612,Yangon,Normal,Male,Food and beverages,90.825,6.2
746-68-6593,Naypyitaw,Member,Female,Sports and travel,183.036,9.7
836-82-5858,Mandalay,Member,Male,Health and beauty,655.5465,4
583-72-1480,Naypyitaw,Member,Male,Electronic accessories,155.652,9.7
466-61-5506,Mandalay,Member,Female,Electronic accessories,571.41,5.3
721-86-6247,Yangon,Normal,Female,Home and lifestyle,532.728,7.4
289-65-5721,Mandalay,Normal,Female,Fashion accessories,170.877,6.5
545-46-3100,Mandalay,Member,Female,Electronic accessories,33.3585,8.7
418-02-5978,Mandalay,Normal,Female,Health and beauty,794.6505,8
269-04-5750,Mandalay,Member,Male,Fashion accessories,310.044,6.7
157-13-5295,Yangon,Member,Male,Health and beauty,545.37,6.5
645-78-8093,Yangon,Normal,Female,Sports and travel,195.594,4.1
211-30-9270,Naypyitaw,Normal,Male,Health and beauty,91.4025,4.9
755-12-3214,Naypyitaw,Member,Female,Fashion accessories,232.155,8.6
346-84-3103,Mandalay,Member,Female,Electronic accessories,69.405,4.3
478-06-7835,Yangon,Normal,Male,Fashion accessories,94.1745,4.9
540-11-4336,Yangon,Normal,Male,Food and beverages,235.683,5.6
448-81-5016,Yangon,Normal,Male,Health and beauty,125.517,5.8
142-72-4741,Naypyitaw,Member,Male,Fashion accessories,195.72,6
217-58-1179,Yangon,Member,Male,Home and lifestyle,263.13,4.2
376-02-8238,Mandalay,Normal,Male,Home and lifestyle,788.508,8.3
530-90-9855,Yangon,Member,Male,Home and lifestyle,399.756,5.7
866-05-7563,Mandalay,Member,Female,Electronic accessories,256.41,4.8
604-70-6476,Yangon,Member,Male,Fashion accessories,94.185,6.8
799-71-1548,Yangon,Member,Male,Electronic accessories,326.424,8.8
785-13-7708,Mandalay,Normal,Male,Food and beverages,536.991,4.2
845-51-0542,Mandalay,Member,Male,Food and beverages,439.8975,6.4
662-47-5456,Naypyitaw,Member,Male,Fashion accessories,369.495,8.4
883-17-4236,Naypyitaw,Normal,Female,Sports and travel,30.219,7.2
290-68-2984,Yangon,Normal,Male,Home and lifestyle,99.75,5.2
704-11-6354,Yangon,Member,Male,Home and lifestyle,494.76,8.9
110-48-7033,Mandalay,Member,Male,Fashion accessories,137.004,9
366-93-0948,Yangon,Member,Male,Electronic accessories,69.6675,9.7
729-09-9681,Yangon,Member,Male,Home and lifestyle,163.233,8.7
151-16-1484,Yangon,Member,Male,Electronic accessories,135.45,6.5
380-94-4661,Naypyitaw,Member,Male,Electronic accessories,276.948,6.9
850-41-9669,Yangon,Normal,Female,Electronic accessories,709.317,6.2
821-07-3596,Naypyitaw,Normal,Female,Fashion accessories,69.09,5.6
655-85-5130,Mandalay,Member,Female,Fashion accessories,160.86,5.7
447-15-7839,Yangon,Member,Female,Sports and travel,233.52,4.2
154-74-7179,Mandalay,Normal,Male,Sports and travel,57.1725,7.9
253-12-6086,Yangon,Member,Female,Sports and travel,723.24,8.7
808-65-0703,Naypyitaw,Normal,Male,Home and lifestyle,148.974,6.9
571-94-0759,Mandalay,Member,Female,Food and beverages,783.3,9.5
144-51-6085,Yangon,Member,Male,Home and lifestyle,297.108,4.4
731-14-2199,Yangon,Member,Female,Home and lifestyle,373.17,7
783-09-1637,Mandalay,Normal,Female,Sports and travel,354.0075,6.3
687-15-1097,Naypyitaw,Member,Female,Health and beauty,44.352,9.7
126-54-1082,Yangon,Member,Female,Home and lifestyle,203.553,8.8
633-91-1052,Yangon,Normal,Female,Home and lifestyle,25.263,5.1
477-24-6490,Mandalay,Normal,Female,Health and beauty,628.173,7.9
566-19-5475,Mandalay,Normal,Male,Fashion accessories,352.5795,6.2
526-86-8552,Naypyitaw,Member,Female,Home and lifestyle,229.11,7.1
376-56-3573,Naypyitaw,Normal,Female,Fashion accessories,400.764,6.4
537-72-0426,Naypyitaw,Member,Male,Fashion accessories,745.395,5.7
828-61-5674,Yangon,Member,Male,Sports and travel,462.21,9.6
136-08-6195,Yangon,Normal,Female,Home and lifestyle,587.664,6.4
523-38-0215,Naypyitaw,Normal,Male,Home and lifestyle,38.85,7.9
490-29-1201,Yangon,Normal,Female,Sports and travel,16.107,6.5
667-92-0055,Yangon,Member,Male,Health and beauty,628.929,8.5
565-17-3836,Yangon,Member,Female,Health and beauty,200.214,9.1
498-41-1961,Mandalay,Normal,Male,Health and beauty,350.07,7.6
593-95-4461,Naypyitaw,Member,Male,Home and lifestyle,78.603,6.9
226-71-3580,Naypyitaw,Normal,Female,Sports and travel,224.4375,9.5
283-79-9594,Mandalay,Normal,Female,Food and beverages,356.5485,5.2
430-60-3493,Yangon,Member,Female,Home and lifestyle,697.368,4.2
139-20-0155,Mandalay,Member,Male,Electronic accessories,423.15,7
558-80-4082,Naypyitaw,Normal,Male,Electronic accessories,204.6975,6
278-97-7759,Yangon,Member,Female,Electronic accessories,65.604,4.7
316-68-6352,Yangon,Member,Female,Food and beverages,76.356,7.1
585-03-5943,Mandalay,Normal,Male,Health and beauty,190.155,5.9
211-05-0490,Naypyitaw,Member,Female,Electronic accessories,272.58,7.5
727-75-6477,Naypyitaw,Normal,Male,Electronic accessories,121.128,6.4
744-02-5987,Yangon,Member,Male,Home and lifestyle,493.794,5.8
307-83-9164,Yangon,Member,Male,Home and lifestyle,252.042,4.5
779-06-0012,Naypyitaw,Member,Female,Home and lifestyle,93.0405,7.7
446-47-6729,Naypyitaw,Normal,Male,Fashion accessories,209.622,6.7
573-10-3877,Mandalay,Member,Male,Health and beauty,40.9605,4.7
735-06-4124,Naypyitaw,Normal,Male,Food and beverages,51.0405,4.4
439-54-7422,Yangon,Normal,Female,Electronic accessories,214.998,4.7
396-90-2219,Mandalay,Normal,Female,Electronic accessories,125.664,8.6
411-77-0180,Yangon,Member,Male,Electronic accessories,530.67,4.3
286-01-5402,Yangon,Normal,Female,Sports and travel,295.6905,9.6
803-17-8013,Yangon,Member,Female,Home and lifestyle,745.836,4.1
512-98-1403,Yangon,Member,Female,Electronic accessories,83.412,4.7
848-42-2560,Yangon,Normal,Female,Fashion accessories,172.011,7.8
532-59-7201,Mandalay,Member,Male,Sports and travel,503.559,5.5
181-94-6432,Naypyitaw,Member,Male,Fashion accessories,145.593,9.7
870-76-1733,Yangon,Member,Female,Food and beverages,74.7075,4.4
423-64-4619,Yangon,Member,Female,Health and beauty,146.9475,5
227-07-4446,Naypyitaw,Member,Female,Electronic accessories,820.365,4.4
174-36-3675,Naypyitaw,Member,Male,Food and beverages,208.677,5.2
428-83-5800,Naypyitaw,Member,Female,Food and beverages,66.402,7.3
603-07-0961,Naypyitaw,Member,Male,Electronic accessories,392.6475,4.9
704-20-4138,Naypyitaw,Member,Female,Health and beauty,218.0745,8.1
787-15-1757,Naypyitaw,Member,Male,Health and beauty,185.094,8.4
649-11-3678,Naypyitaw,Normal,Female,Food and beverages,216.6885,5.5
622-20-1945,Naypyitaw,Normal,Female,Health and beauty,41.391,8.4
372-94-8041,Yangon,Normal,Male,Health and beauty,96.138,9.8
563-91-7120,Yangon,Normal,Female,Fashion accessories,324.2925,6.7
746-54-5508,Yangon,Normal,Male,Home and lifestyle,135.576,9.4
276-54-0879,Mandalay,Normal,Male,Sports and travel,410.508,6.4
815-11-1168,Yangon,Member,Male,Food and beverages,523.845,5.4
719-76-3868,Naypyitaw,Member,Male,Food and beverages,395.892,8.6
730-61-8757,Mandalay,Member,Male,Health and beauty,214.746,4
340-66-0321,Yangon,Member,Male,Electronic accessories,152.712,7.6
868-81-1752,Mandalay,Normal,Male,Home and lifestyle,208.089,6.8
634-97-8956,Yangon,Normal,Male,Food and beverages,103.635,9.1
566-71-1091,Yangon,Normal,Male,Fashion accessories,404.355,5.5
442-48-3607,Yangon,Member,Male,Food and beverages,49.308,7.9
835-16-0096,Naypyitaw,Member,Male,Sports and travel,77.175,8.5
527-09-6272,Yangon,Member,Female,Electronic accessories,149.3625,9.1
898-04-2717,Yangon,Normal,Male,Fashion accessories,721.98,7.5
692-27-8933,Mandalay,Normal,Female,Sports and travel,365.085,5.2
633-09-3463,Naypyitaw,Normal,Female,Electronic accessories,150.0975,9.5
374-17-3652,Mandalay,Member,Female,Food and beverages,404.649,8.9
378-07-7001,Mandalay,Member,Male,Electronic accessories,151.4835,7.8
433-75-6987,Mandalay,Member,Female,Health and beauty,411.3795,8.9
873-95-4984,Mandalay,Member,Female,Health and beauty,565.215,7.7
416-13-5917,Naypyitaw,Normal,Female,Food and beverages,509.4075,9.3
150-89-8043,Yangon,Normal,Male,Sports and travel,140.6475,6.2
135-84-8019,Yangon,Normal,Female,Fashion accessories,736.4385,7.6
441-94-7118,Yangon,Member,Male,Electronic accessories,75.5475,7.3
725-96-3778,Naypyitaw,Member,Female,Home and lifestyle,749.7,4.7
531-80-1784,Yangon,Normal,Male,Electronic accessories,191.247,5.1
400-45-1220,Mandalay,Normal,Female,Health and beauty,141.75,4.8
860-79-0874,Naypyitaw,Member,Female,Fashion accessories,1042.65,6.6
834-61-8124,Yangon,Normal,Male,Electronic accessories,379.9215,5.5
115-99-4379,Mandalay,Member,Female,Fashion accessories,402.2655,8.5
565-67-6697,Mandalay,Member,Male,Home and lifestyle,255.15,4.8
320-49-6392,Naypyitaw,Normal,Female,Electronic accessories,31.752,8.4
889-04-9723,Mandalay,Member,Female,Food and beverages,374.388,7.8
632-90-0281,Naypyitaw,Normal,Female,Fashion accessories,394.275,9.3
554-42-2417,Naypyitaw,Normal,Female,Sports and travel,1002.12,5.2
453-63-6187,Mandalay,Normal,Male,Electronic accessories,86.625,6.5
578-80-7669,Mandalay,Normal,Male,Sports and travel,78.7185,5.6
612-36-5536,Yangon,Member,Male,Food and beverages,680.064,7.4
605-72-4132,Naypyitaw,Normal,Female,Food and beverages,793.548,9.1
471-41-2823,Naypyitaw,Normal,Male,Food and beverages,209.559,8
462-67-9126,Yangon,Normal,Male,Home and lifestyle,461.286,7.2
272-27-9238,Naypyitaw,Normal,Female,Food and beverages,173.208,7.1
834-25-9262,Naypyitaw,Normal,Female,Fashion accessories,343.056,9.1
122-61-9553,Naypyitaw,Normal,Female,Electronic accessories,484.974,5.6
468-88-0009,Yangon,Member,Male,Home and lifestyle,276.948,6
613-59-9758,Naypyitaw,Normal,Female,Sports and travel,150.78,5.4
254-31-0042,Yangon,Member,Male,Electronic accessories,203.175,7.8
201-86-2184,Mandalay,Member,Female,Electronic accessories,193.011,9.9
261-12-8671,Mandalay,Normal,Female,Fashion accessories,128.016,4.9
730-70-9830,Naypyitaw,Normal,Female,Home and lifestyle,441.693,5.2
382-25-8917,Naypyitaw,Normal,Male,Fashion accessories,265.104,8.9
422-29-8786,Yangon,Normal,Female,Home and lifestyle,352.2225,9.1
667-23-5919,Yangon,Member,Female,Fashion accessories,507.675,7
843-01-4703,Mandalay,Member,Female,Home and lifestyle,334.341,9.6
743-88-1662,Naypyitaw,Normal,Male,Sports and travel,701.8515,8.7
595-86-2894,Naypyitaw,Member,Male,Fashion accessories,407.316,9.4
182-69-8360,Mandalay,Normal,Female,Electronic accessories,99.33,4
289-15-7034,Yangon,Member,Male,Sports and travel,345.786,7.5
462-78-5240,Naypyitaw,Normal,Female,Electronic accessories,55.881,4.2
868-52-7573,Mandalay,Normal,Female,Food and beverages,523.3725,9.9
153-58-4872,Naypyitaw,Member,Female,Food and beverages,314.538,4.2
662-72-2873,Yangon,Normal,Female,Food and beverages,214.935,9.9
525-88-7307,Mandalay,Member,Male,Sports and travel,79.611,5.8
689-16-9784,Naypyitaw,Normal,Male,Food and beverages,294.651,6
725-56-0833,Yangon,Normal,Female,Health and beauty,339.36,10
394-41-0748,Naypyitaw,Member,Female,Fashion accessories,510.9615,9.5
596-42-3999,Mandalay,Normal,Male,Food and beverages,133.917,6.6
541-89-9860,Naypyitaw,Member,Female,Fashion accessories,253.512,8.1
